title,description,author,genre
traffic stop,"“I’ve learned that people will forget what you said, people will forget what you did, but people will never forget how you made them feel.” - Maya Angelou",Irene Sullivan & Adele Solazzo,Mystery
KAZe,"On May 1st 2008, one of the most dangerous mental patients escaped, committed homocide, and was shot down to her death. Three years later, her grave was found dug up and her body missing. Detective Xa",AnonymousAuthors,Thriller / Mystery
Memories of Gaia: The Edge of Despair,"Valeena Star knows she is in danger and will stop at nothing to save herself from the hands of her own mother. With the help of the Elements, she might just stand a chance to survive. BOOK ONE",Brandy,Fantasy / Adventure
A True Soul,"The truth about her existence had been kept from her. Now, at 16, Angie is about to discover an unwanted reality. How is she going to survive in this world when her Guardian is nowhere to be found?",KC_Ward,Fantasy / Adventure
Defining a Terrorist,"Sana is a young bubbly girl in her twenties. With no warning she finds herself between people she thought only existed in news and movies, terrorists.",Shona1993,Drama / Romance
Look Beyond What You See,"Aerys has always been different, and strange things are happening now that she's turned 18: An arranged marriage, a new home, and countless mysteries with dangerous implications if she solves them....",Danaerathena,Fantasy / Romance
Louise a Vampire's Story,A first-person story of a young woman in the late 19th Century turned into a vampire against her will by a man she had believed to have been a close family friend...,Tarynne Bourret,Horror / Drama
Like WildFire,Sometimes rumors really burn...,areeceauthor,Other / Romance
From Nerdy To Beautiful,"Self-love is found in twisted ways. This is the story of when I was bullied in high school. Lies, Games, Anger, Sadness, Love? These factors can truly influence a life. See how the y influenced me. ~K",Morgan Spicer,Drama / Romance
The Last Starry Night,A young girl runs away from her broken home... and then the stars go out. Now she and her friends must save the Earth by proving that humans are a sentient species.,Jeff Lilly,Children / Scifi
Targeted,“Your next mission is to be a bodyguard.” “You want me to do what?” Agent Monique Chang asked in a rather unnecessarily loud voice.,monii777,Romance / Action
Someone and Something Unexpected,Suddenly Cheyenne finds herself homeless at seventeen with no plans for the future. If life hasn't been hard enough she ends up at The Dove Ranch where her life is about to change once again.,Michelle Heron,Romance / Other
Jack and Jill,"He's a dangerous ex-plumber. She's a marine biologist. Together, they fight zombies.",Hazel Meades,Horror / Drama
This is Not a Test,Being a teenager is the hardest thing you will ever have to do,LivWigenCarswell,Drama / Romance
Scar,"SCAR - 1) A mark left by a healed wound, sore or burn. 2) A lasting aftereffect of trouble, especially a lasting psychological injury resulting from suffering or trauma.",Amanda Massaro,Romance / Action
Athanasia: The Great Insurrection,"(Excerpt 8 chapters out of 35) In Athanasia, an ancient land of 21 kingdoms, a great evil that has hidden its face for many thousands of years is emerging. This is the first book in a 6 book series.",ThomasCoutouzis,Fantasy / Adventure
Rebel Born,"Amelia Walker, a tech mastermind, and a recent runaway, joins a team of protectors of the city, only to get lost in a whirlwind of secrets hidden by the government. What are they hiding?",Celin Chen,Action / Scifi
Tumbleweed,"She was a tumbleweed: as close to death as one could get while still alive, looking for a place to settle down and grow. They were unprepared to take her in but became just what she needed: redemption",MeltingpotGirl,Romance / Drama
Simple Servant,"In that next moment, everything disappeared and only one thing seemed to matter. In that next moment, Noah finally stopped thinking. For in that next moment his Annabell, kissed him back.",Dragon_Dame,Romance / Other
Naked and Kidnapped,Knowledge is knowing a tomato is a fruit. Wisdom is not putting tomato in a fruit salad.,Mahi_Mistry,Humor / Romance
Man in the Shadows,"A man driven to the point of no return by the psychological game being played. A killer who has gone undetected for years, now wants his exploits published, and will stop at nothing to achieve that go",Paul Zunckel:Author,Thriller / Drama
Tears From Hell,"The last remaining noble family of the vampire world has been killed, or so we think. One vampire lives and is in the hands of a vampire hunter family, one who also trains assassins.",BrittanyWilton,Fantasy / Mystery
The Trouble with Super,"Three underachievers with super-human abilities. One's drowning in work, another's making a quick score and the last is morbidly obese. They must fight the age-long struggle of simply being happy.",KeithBarrett14,Other / Fantasy
"10% true 90% real, a war fiction","One family, two wars, and countless bombs. Two friends team up together to disarm roadside bombs. What will they lose in the middle east that they will be willing to give up everything to find again?",Mark Walker,Action / Other
Conquest of a Queen,A magical realm and two independent American women tasked on saving it. It's not just the Goblin King and a witch that are the problem but the nature of human relationships.,Noemi Betancourt,Fantasy / Romance
Djinn & Tonic,What if a genie didn't have powers? What if you wished for a million dollars and your genie started planning a heist?,B.C. Johnson,Thriller / Fantasy
An Evil Family,"Set in New Zealand, this is the story of the world of abused and vulnerable children, the impact on the lives of those who try to help them and those who corrupt and take advantage of them.",Shirleymac,Thriller / Mystery
The Broken Illusion,"Christina Blake has to escape her dark past. She has to go through the world of thugs and her brother however, thats not what scares her it might cost her life if she fails.",mystery_mia,Humor / Drama
Sunshine Boy,"Townes is a musician who can't write a song to save his life. What will he do when the girl he's been chasing falls in love with him--or rather, with the songs he stole.",Emily_Quinn,Romance / Adventure
Düsseldorf: Russet Melody in the first autumn,“Die Deutschen sind sehr überheblich!!!—Germans are so arrogant!!!” Anggia had uttered before she knew Christopher Schlösser. A man who introduced her to Russet Melody.,Riskaninda Maharani,Romance / Drama
The Zombie Prophecies: First Light,"Zombies, monsters, secrets and lies. Donovan is bitten but instead of turning he begins to develop strange psychic abilities, and he's not the only one reacting strangely to the contagion either.",Adam Sigrist,Horror / Scifi
The Longest Night,"There was so much she wanted to ask him, to know of him. Eventually, as the sun approached the horizon, she collected every last bit of courage she had and said: “You look familiar.”",K.M. Gibson,Scifi / Romance
A Trip In Time,Lily was a normal high school girl until she took a trip in time and ended up in a world that could only exist in her history books. Now she needs to decide whether she wants to return home or stay.,nikmariecav,Romance / Adventure
Anomalies: Control,"Targeted by the government for his unique appearance, Cole Callahan finds temporary safety among a community of Anomalies- individuals with powerful and otherworldly abilities.",Brittany Katie Curtis,Fantasy
The Diary Of Jane,"Kelley Stockman starts to experience things that can only be described as paranormal. Looking for answers, Kelley turns to a Ouija board, but instead unleashes something much worse and unimaginable.",Kyle Robert Lane,Horror / Thriller
The Fate of Azaera #1: Dark Horizons,"The Cursed One has awoken. The fate of Azaera is in the hands of a banished heiress, a cursed warrior and Azaera’s shadow king. They all have their own intentions, but their fates are already sealed.",lorenarose001,Fantasy
Tales Of Kalash Part I: The Uncensored Chronicles Of The Inappropriate,"A young prince sets out on a journey to become a good and proper king, Things don't quite go as planned, but then again they don't work out too badly either. DISCLAIMER: ADULT CONTENT",Dean R Boic,Fantasy / Humor
Blood Tales,A collection of bloody tales and poems for adults involving vampires.,Georgina Ann Price,Horror / Romance
The Shadows Trilogy,"I’m lying here curled into a ball on the cement floor after many weeks in captivity, beaten, bruised and weak.",ClareMarie,Thriller / Fantasy
Spur of the Moment,"If it's worth having, it's worth fighting for.",Candace C. Bowen,Romance / Fantasy
Life Thief,"The supercomputers have been destroyed, but their living creations still terrorize society. Can the goals of human life be brought together, in defiance of the schemes of unliving intelligence?",MishticalOne,Scifi / Adventure
'The Kestrel',"When Alexander Cavendish joins the crew of the pirate ship 'The Kestrel', he anticipates glorious adventures on the waves and many victories ahead. The reality however is another story...",Faye,Action / Adventure
Love at First Fight,Love is like a war. Easy to begin. Hard to end.,Sargun_and_Thea,Romance / Action
Beautiful,"I was beautiful once, I had everything I could ever wish for...",Sara Roberts,Adventure / Romance
The Great Balance,"Briellyn's life has always been planned, simple, and mostly boring. But when her business is need of some help, she has to step out of her comfort zone... but she never expected just how much,",T. A. Davenport,Romance / Fantasy
Countdown,"My name is Tony, and at the time of this interview, I am already dead.",Edward Davies,Humor / Mystery
Puppet,"TOY MASTER TRILOGY BOOK 1: And even as the world is consumed in the flames of evil, the strong will continue to rise from the ashes...",Amelia H. Vale,Romance / Action
The Colour Spa,Because life is not black and white.,Kelley Townley,Mystery / Other
A Machine Called Earth,"Imagine if the world was a machine, and at the center, was a room, that could control everything.",Aaron Thorne,Scifi / Fantasy
M. A. Y.,"He hurt her so much, abandoning her when she needed him most. But now he wants to be friends again.",Rowan Gilbert-Walsh,Drama / Romance
The Wright Life,"Jim is a brilliant engineer, he can create anything he puts his mind to, except Love. Lisa is smart, sarcastic, and strong willed. When they meet, all hell breaks loose in love and sex.",Craig Rice,Humor / Romance
I Know How You Feel,"Looking back now, high school drama, boys and grades seem like nothing when you've got powers you can't explain and terrorists planning attacks that you can't ignore.",Angela D'Eufemia,Scifi / Adventure
Death's Kept Secret,"A story of a small town, where nothing is really as it seems.",Vince Gilissen,Humor / Mystery
The Misbegotten,From the depths of his darkest past can Estefan find the will to save mankind from its deadliest foe in the present? Or will he sit by and watch the destruction unfold with a much deserved smile?,RichardMHeredia,Scifi
Gemini Reborne,"Nereids-the original mermaids- have been through an unfortunate existence. Most thought they finally died out, but not entirely. One of these rare creatures has been caught, turning legend to reality.",MeltingpotGirl,Fantasy / Romance
A Game of Colours,"In a world where the colour of a man's skin defines the content of his character, one teenage girl is left struggling to escape her bondages and return to the life she once knew and loved.",MarieJeanFrancois,Adventure / Other
Never Just a Dream - The Psychic Trilogy Book 2,"Born into a family of psychics, Angela Jane Bennett, seeking a sense of belonging, but considering her upbringing, she found it difficult to accomplish that goal, but that wouldn't stop her.",Babettew54,Fantasy / Romance
That one promise,"When a young man captures a girl's heart what is she to do? And when he breaks it and disappears, then what is she supposed to do? Even if love doesn't stay, friendship always does.",Kriti Khare,Romance
Our Gracious Queen,"Can the Queen hide her secret and protect her family? Sequel to ""Queen of the May""",Queen of the May,Romance / Drama
George and the Dragon,"Dragons, queens and quests. Follow the fantasy tale of Lady Amma as she takes on beast after beast in this wondrous medieval epic that is sure to make you beg for more.",P Chadwick,Fantasy / Adventure
Rise: Future Worlds Book One,"On a shattered world, Ancient technology that provides water is failing, setting the world on a path to war. Thus begins the recount of how four people set in motion events that reshaped the world.",Brian Guthrie,Scifi / Fantasy
Forever and a Night Dark Experiments,"Tiffany Peebles takes a job as an IT for a gorgeous, sexy vampire, Doctor Christian La Mond. Passion sparks between them until she falls victim to an angel of death poisoning pregnant vampires.",lanaherrera,Romance / Fantasy
Penda 1,In the depths of the Dark Ages an orphaned boy embarks on a journey that will bring him to ultimate power.,Peter Goodsir,Fantasy / Adventure
Night In Gale: Book 1,"In a world where magic is hunted, experience our world through the eyes of a mage on the run. Trust no one. Fear no one. Love no one. Even if you...can't help it.",Lydenewolf,Fantasy / Romance
The Otherside: Jay McClayn: This Is High School (Book 1),"Jay McClayn was a typical high school girl, or so she thought, until her old love from her past comes a long and reminds her of who she truly is and where she belongs.",JenRandomlyWrites,Fantasy / Romance
"Lies, Sacrifices, and Alibis","A baby. It's all she's ever wanted. Will the images in her mind, wrapped in blue and pink, be enough to drive Elyse into the arms of her sister's deranged plan to get it?",Lisa Dee Walker,Thriller / Romance
Forgotten Minds,Contractions from hell rips through my soul. Urine flows uncontrollably over the bare ripped skin of my testicles. The switch flip again and the agony disappear. “Who the fuck are you?”,Willie Beetge,Thriller / Other
Less Than a Hundred Days of Summer,"She works at a fast food joint while he is a famous romantic movie star, they don't even speak the same language - a perfectly unlikely pairing. Yet, they are drawn together. Will they find love?",klove,Romance
Budding Lilly,"Maybe she would never be able to do it, she thought. The tingling sensation overcame her increasingly. “I love you.” The words slipped out of her mouth as she forgot her pains.",AdepojuAtinuke,Poetry / Romance
Willow Lake,"""An edge of your seat murder mystery."" If you like romance, murder, dark secrets, and betrayal. You'll love this gripping tale. Follow Sage's story... The journey has just begun.",irishrose4,Mystery / Drama
Walking Among Vampires,"""Oh look, it's pitiful and frightened,"" Bronwyn rolled her eyes, returning her attention to the TV and calling over the couch, ""Maybe you should eat her and be done with it.""",SerenityR0se,Fantasy / Adventure
"Wanting to Remember, Trying to Forget (Meet the Spards, #1)","Max is in love with his best friend, but she's in love with someone else. How does he get her to notice him?",jacquelinefrancis,Romance / Humor
Cindy Psi: Spy In Training,"Everyone knows the big stories about Cindy Psi, intergalactic adventurer and spy, saviour of humankind, and reasonably adept pastry chef. This is not that story.",John Whitelock,Scifi / Children
Written in Blood,An investigation so tense it will make you read the book in one breath.,hristinamarkovska,Mystery / Thriller
The Hurting Game,"A cocky young knife fighter and a bitter, disillusioned hit man find themselves tangled in a gang war that could either redeem them or drive them deeper into the throes of corruption.",Alex Rushmer,Drama / Thriller
Unloved and Untamed,A young woman with an undeveloped gift of premonition hates her life and seeks something different. Luckily a young rich boy comes into her life. Then his strangely identical cousin seduces her.,Michon Neal,Romance / Fantasy
Stephanie Steele,A tense fast paced Sci Fi thriller. Blade Runner on steroids with lots of steamy love action.,Troll Dahl,Scifi / Thriller
Obsessed with Sadie,"He said, “Sweet dreams sexy vixen, our game starts tomorrow.” With that, he laughed and walked back out. The sound of the lock engaging was the loudest sound I have ever heard.”",Melissa O'Neal,Romance / Action
Genetics: 1159,"Jordan tried to be a hero, she really did. But when she loses the person closest to her, what lengths will she go to in order to right the wrong? What is she willing to pay for a miracle?",Little Writer Babe,Scifi / Action
THE LAST CHANCE,"Goodwill for all mankind. Everyone says they want it, but do they? When given the opportunity, will they take it or won't they? What will they be willing to give up for peace on earth?",3tate4lace,Thriller
Dance of The Roses,Discover the thrill of 4 girls fall in the abyss of forbidden love,Mohab El-Sobky,Romance / Fantasy
Wilting Roses,"How did this all begin? How did two meet in such away, in such a place? It all started one night at a ball, and their eyes met in the crowded room.",Rebecca Rumreich,Romance / Other
12,"Congratulations on making it this far. You are one of the twelve lucky people to have been selected by me, Chaos, to participate in the experiment of a lifetime.",Zac Ramsay,Thriller / Mystery
Dream of Embers Book 1,"Embrace the Cold. Shala of Evrelyn takes up the mantle of a duty her father could not, but comes to inherit the same enemies that sought to undermine the King.",Barend Kleynhans,Fantasy
The Birds Of Prey Book One: Rise,Evolution waits for no one. What happens when genetic mutations divide the world? How would mankind adjust to there being three other mutations of himself? The world will never be the same.,Jordan Anthony Chen,Scifi / Romance
Wright Magazine,Wright Magazine is known for the entertainment within it's pages. But the real entertainment happens behind the scenes.,Sheena726,Romance / Drama
iLove: Version XY,"Thomas couldn’t believe what he just read, diapers on a dog? Thomas decided against asking what that entailed… He wasn’t sure how to reply to that text so he just sat there staring at his phone.",Brad Prose,Humor / Romance
Excalibur ~ World from Ashes,"After the end of the world, is there anything left? Once mighty powers, now crumbled ruins, the only powers remaining are gangs. But the gangs aren't the only ones left to rise to the top.",SirynSueng,Scifi / Romance
VAMPIRE DOLLHOUSE,A vampire woman's ancient and daring tale of how she found love and escaped the evil vampire household that has held her captive for a thousand years.,Sophia Catlett,Horror / Fantasy
Invited By The Elements- Book 1 (Card Masters Saga),Sixteen-year-old Mixie Avalon is an unpopular High School Freshman. She accidentally stumbles upon a magic shop and discovers a magical blank deck of cards to take home.,Bria Lexor,Children / Fantasy
The Killer,"Trevor is not just some computer guy: he is someone to be respected, even feared. He knows that he is more powerful and intelligent than people think and now he has the opportunity to prove it.",Rick Jacobs,Scifi / Action
Ell,"Miles from home, a mentally disturbed girl fights mind and monsters on her twisted path back to those she knows.",Ben Chatfield,Thriller / Horror
Changeling - Book 1,"“.....Don’t come any closer.” Karissa stopped and smirked. “Monster? You’re calling me a monster?” she scoffed. “Your one to talk.” Emily looked at her confused. “What? I’m nothing like you......""",Helena Kenny,Fantasy / Other
Love on the Run,She can run from the killer... ...or stay and protect the people she loves.,Karen H Lawton,Romance
See Through Love,"Carolina Dominguez is an invisible woman who falls in love with Julian Marchiel the new Gym Teacher. A Capoeria master she can control her invisibility when angry, but being aroused is another story.",Rodd Thunderheart,Romance / Scifi
SPY TO LIVE,"It's a story of four teenage girls, whose lives would take an abrupt turn due to one unexpected event. Love, trust and friendship took a different toll. Neither of the girls were prepared to handle it",pavitra,Action / Romance
Crystal,"The lake always held a certain attraction to Crystal, probably because that's where her lover rested, and she wanted nothing more than to join him for eternity.",Eve Mak,Horror / Romance
Beyond black silk,"‘If I were a painter I would paint you like sunset. You are the melancholic red, the hazy purple and the mellow yellow. Can’t you see, Angel, how beautiful you are.'",Mandy Hu,Romance / Drama
Grimm Fantasies: Little Red,"The Sacrifice, the lamb led to slaughter. The Protector, the burning light of redemption. And an ancient prophecy that tells of the end of werewolves. Only one human can stop it.",Skye Nall,Fantasy / Action
Kiss of the Immortal,"Kira wanted to live a simple life: to serve her vampire master. While she keeps her feelings at bay, she wonders if things can remain the same. The past won't let her go and her future is uncertain.",T.U. Wrighter,Romance / Fantasy
Blood Sisters,A superhero adventure novel with a nod towards hard science fiction. A young heroine discovers that she has an unknown twin sister from the streets who is being hunted by a mysterious organization.,Kip J. Rabidou,Scifi / Other
What Goes Around,Divya Sankar wanted to do nothing but enjoy the summer and help her best friend Inderjit get married. Who knew that along the way she would find her own love and it would cost her everything...,DizzleD,Drama / Romance / Based on Bollywood
Legacy,The man who would be God.,Jacob Harris,Fantasy
The Contest,"The Contest brings the fairy-tale Kingdom of Cyberia right up to date, with on-line match making, speed dating, technology dependence and cyber spells,spiced up with lots of tongue-in-cheek humour.",Suzycue,Fantasy / Humor
Lux Locus,"Killigan Ghor, born a blacksmith, becomes leader of a group of super soldiers to protect his home from alien threats. A moment of peace is broken by a new threat; One that could destroy all humanity.",ThePsychopath,Scifi / Fantasy
Double or Nothing,"A young couple have a perfect life, or so they think, until they are challenged by a new guy arriving on the scene.",Stephen Littlewood,Romance / Other
Getting Sync'd,"When a notorious DJ finds himself fed up with his life of fame and sex, he turns to his past in the hope it will sort out his future.",SPBlanchardWrites,Romance / Humor
Book One: Knights' Festival,"Outcast and betrayed by her brothers, will the princess overcome impossible feats and regain her honour? The fantasy adventure that will make you beg for more.",Katherine Baskerville,Fantasy / Adventure
Keep Your Promises by Sabitha Kiritharan,"""Sometimes secrets are deadly. Sometimes secrets should be meant to be a secret. Some people would kill for a secret.""Scarlett discovers secrets in her life that change who she is and change the truth",Sabitha Kiritharan,Romance / Other
Dime Box,What do you do when you start to love somebody you've hated forever?,Trevor Romain,Drama / Humor
"Fated Rising - Book 1 - Fire, Wind and Lightning",I am Rain. I am the Guardian of Crimson and Gold.,HannahAlexandra,Fantasy / Romance
Empyrean,"An urchin was adopted to be the sole inheritor of a powerful western kingdom, at the age of fourteen he is engaged to a sinister figure armed with the intentions to plunge the whole world into chaos.",Ivan Griscenko,Fantasy / Romance
The Stolen Years,"Adenizen is the perfect school in every sense except for one thing. On the outskirts of its campus, there is a student villa where the female residents are fair game for any man who can pay the price.",iizegbuwa,Thriller / Mystery
Stuffed,"Snatched by a taxidermy-happy countess and her unsettling assistant, young shapechanger Tom Ness only wants to live. But how can he save his skin when that's all she wants?",Beth Madden,Fantasy / Thriller
Dragon Born,"Men were supposed to save the world, but they failed.” The brown lady paused. Her great soft eyes swept the room and they felt her concern. Fantasy Story",Gail Gibson,Fantasy / Scifi
The Rites of Inheritance (Book 1),"The subject of an ancient prophecy about the end of the world, Cassady Brewell is determined to save both her people and herself without bloodshed. But no matter what she does, destiny has other ideas",Laura,Fantasy / Adventure
One Last Time,"At the age of 19, Britney Treys has gone through a lot. After a bomb goes off, her life is thrown off as her past haunts her and her future is stuck between life and death.",Chacoal1213,Mystery / Romance
Second Chances,"This story, Second Chances, comes from the heart. I hope it touches yours.",ldyoke,Drama / Romance
The Serpent: Part 1,"""Ladies and Gentleman, all the way from Los Angeles, California, put your hands together for…SAM KRUGER!!”",SilentSpring,Drama / Romance
Dominion of the Star,"In a world at the edge of a second apocalypse, Kayla Steelryn must learn to wield her Angelic powers and choose between the two men she loves before the darkness descends.",Angelica Clyman,Fantasy / Adventure
Oil in the Wok,A Chinese-American girl with parents as ridiculous as the stereotypes they enforce on their daughter will break the mould and become something bigger than what is expected of her.,wyrdkismet,Children / Romance
Ravyn's Nights - Book 1,Claire's life led her to love. Love led her to death. Death began her eternal struggle to retain both her love and her humanity through 5 centuries of endless nights. Book 1 covers 1583-1690.,Janelle Walden,Horror / Romance
Souls for Suffering [Acolytes BOOK 1],"A teleporting girl and her younger brother traverse the desert world of Seron, doing their best to avoid monsters and brainwashed super-soldiers that are stuck in a war between the sexes. 90,000K",James Villinger,Scifi / Action
The Art of Living,"When redemption throws you a lifeline, taking it is your only option, but just how far can an ageing man go on his road to forgiveness before all else consumes him?",flyinghorizons,Romance / Fantasy
The Kings Game(Under Construction),"The world froze leaving only silence. In that empty silence he appeared, draped in black and presenting an invitation. An invitation I should not have seen.",Remini UDA,Adventure / Fantasy
Aconitum,Meet professional werewolf hunter Hector Rothenberg who lives in a world where werewolves threaten society and hunters wade through murky moral waters because werewolves are not all mindless monsters.,mhowalt,Fantasy
Black Horses,"Valerie Swartz (rhymes with warts) is a huge dork. Until she comes to the aid of a strange horseman one winter night, beginning a journey to save a world. But is she the Hero?",Teanna Byerts,Fantasy / Humor
Twisted Blood Vines,"A family with roots deeply embedded in the winelands of Franschhoek reveals its twisted, mysterious history when one of its descendents researches her family tree.",Marilyn Ann Mills,Mystery / Scifi
Praveena,"One girl's journey to discover her calling. And on the way, life happens.",Narmadhaa,Other / Adventure
Lilith series #1 - Morgana's Heiress,"This is the first translated episode of the long French-written ""LILITH"" series. (15 up to now)",alextremm,Fantasy / Other
SWITCH,"Caylnn's life is built on the strong back of a big, fat, lie. She escaped her dark past only to be pulled back again. Is she strong enough to survive the darkness or will death find her a weak target?",CelieWells,Romance / Scifi
Extraction,"Some people weren't meant to love. At least, that's the only explanation Rosegold Reed can give herself when every man she kisses seems to slowly drain of life.",Stephanie Christensen,Romance / Mystery
CODEX Part 1: The Story of The Commander,People would do anything for a glimpse at the world lurking in the darkness but they never truly understand what that involves.,Ana Chirila,Fantasy / Horror
Memoirs of a Drunk Librarian,"I never intended to become a librarian. Or a drunk, for that matter. But life is a funny thing, especially when love and books are involved.",HarrowKildare,Humor / Drama
Book Ends,"It had been two years since I had spoken to him. As I walked into the midsize, but very quaint bookstore in Harlem I immediately knew why he chose it for one of his book signings.",lesliescottjones,Romance
The Night of the Freaks,The Night of the Freaks tells the story of Charles Palmer and the people he encounters the Friday night before he graduates college. Funny thing about most of those people; they think they're zombies.,Andrew Bailey,Humor / Horror
Rescuing Percy,"He caught a glimpse of a pale face, what he had known as a friendly face, as he tumbled. His skull made a thick sound, like an apple hitting the ground, as it bounced off the floor.",TJ WIlliams,Romance / Action
The Man In Orange,A helicopter thriller spanning the world from New Zealand farmland to the Canadian wilderness.,Zac Yates,Thriller / Action
Demons and Dragons,Two forces have been at war for as long as Time can remember: Dragons and Demons. A teenage girl in the modern day world is drawn into their war by a book with more power than she can understand.,Jennie_A,Adventure / Fantasy
Coupling,"Natasha and Alex. Lovers since long. Their love life is one of a kind. However, as fate would have it, their 9 year old relationship is coming to an end. But they don’t know this, not yet.",KevinMoter,Romance / Drama
Call of Eden,"The reincarnation of Adam searches for his love Eve, who does not know who he is, or who she is. Claire Baxter is the reincarnation of Eve. If Adam can reunite with his love, they can return to Eden.",Maya Johnson,Romance / Fantasy
Enchanted High Book I,A collision of spells. Flesh eating flowers. Voices. A tale from history. Shrunken heads. A wishing tree. An evil re-incarnated Prince searching for the girl who wears the face of his deceased lover.,Polkadot,Adventure / Fantasy
My Twenty-Fourth Year,"Non-conformist Eva realizes she’s got the hots for her boss, John, the same morning she admits to replacing sex with coffee.",ElizaBurks,Romance
Leaving Her Behind,"Last night was a bliss. I have touched every inch of Vianna, after 10 long years. It was so hard to have self control.",elydia_reyes,Drama / Romance
Beyond the Milky Way,"With great exuberance, I inform you that our government requires your participation in a top-secret training program. As President of the United States, it was my personal duty to inform you of this..",J Linz,Romance / Scifi
REAL ART,What if you’ve met the love of your life and just didn’t know it? What if she didn’t even know it either but then sends you clues once she realizes that she’s wanted you the entire time?,Andy Ruffett,Romance / Other
XENIA MY LOVE,"Xenia my Love: The Bond:- Intricate Erotic Romance Novel, Haled “The Most Sexual Experience Ever”, Fuses Fiction, Fantasy and the Core of the Human Spirit",mossesnephi,Romance / Fantasy
The Final Summer of Vodka,"Dear Diary, Hello. My name is Lei. I am a 30 year old British single gal living in Marmaris, Turkey. I am a vegetarian and a vodka lover.",Louise Bell,Humor / Romance
GRIP,512 wasn't just another number on a scale... It was Declan Gardner's reality....,Adex Jasette Garza Sáizar,Romance / Drama
Discovery,Have you ever truly wondered if you were meant for something greater? Jersey Banks did and now she finds out just what those responsibilities will entail. Join Jersey on this sexy action adventure.,Jennifer Kapraun Russell,Romance / Fantasy
The Fire Within,"The night they died, three things occurred to me: one, that I’d made a terrible, terrible mistake; two, my life had not been bad after all; and three, demons, werewolves, and monsters are very real.",SophieS,Horror / Fantasy
Forbidden Trouble,Powerful women are his weakness. Trouble is his strength,Travis Casey,Romance / Humor
Lamia's Fists: Rise From The Ashes,"The second volume of the series ""Lamia's Fists"". Lea continue on her missions to save her friend's house, but got unwanted attention, and they want to find her to put a stop to her.",lloyd1191,Action / Fantasy
Vacancy,"Nate crudely rolled Loser 1 on his back and knelt down. He slid the blunt knife across his throat, once to make the cut and then twice to make the laceration deeper. Loser 1 gurgled.",Suzi Barton-Romanoff,Romance / Fantasy / Based on Vampire Diaries
Pariah of the Little People,"The third part of the Little People trilogy brings this saga to a thrilling, but heart wrenching close.",Alex Beyman,Fantasy / Drama
Moonlight Hills-Book One: Lycanthrope,No one had noticed. Evil had lurked beyond the shadow. It began when the Lycans rose.,K. Lazz,Horror / Fantasy
Priestess Unveiled,"Years after swearing to her mother she would become a Priestess,Nova Ballard knows the time has come in spite of her struggle with her power of oracle.. Alternate antiquity/Norse Mythology/Fantasy.",Aidan L,Romance / Fantasy
Cosmic Queen,"This true story chronicles the rise of Camille Sands from a childhood of dreams, through the trials, tribulations, ups & downs of becoming a Burlesque Queen.",Camille Sands,Drama
Gate's Key,"Life's going great! Family is great, but little sister is strange, brothers a pain. Mom is... Mom works hard to take care of us. My dad died... My best friend? She's cool... Wait? She's a WHAT?",Stephanie Eastwood,Romance / Adventure
"Minerva Atramentous, Necromancer","The lies and illusions of Imperial life are shattered for the young necromancer when her grim powers reveal a world-threatening conspiracy, and the heavens themselves are torn asunder.",Trahelion,Fantasy / Thriller
Skeleton Girl,Pluck her from the mundane and implant her in a story where she has to face her greatest enemy: herself.,skwirelygurli,Other
Deliverance,"Cast out of an immoral world by unjust actions, follow the intertwining tale of two souls looking for redemption.",ChristopherWillson,Drama / Other
Footprints,‘Obsession of an artist is more heart wrenching than an obsession of a lover.’,rujuta,Poetry / Fantasy
The Eulogy,"The Eulogy is a story of acceptance and one woman's powerful journey to like the ones she loves, before it's time to say goodbye.",Debra Yergen,Drama / Romance
The ABC of Love - Body and Soul,"Set in Prague and on the French Riviera, this is a poignant tale of love, loss and the search for happiness of a young girl",lidmila,Romance / Adventure
Chronicles of the Night: Chasing Shadows,There was once a girl who saw the future. This is all she told. (Updates on Wednesdays or can be downloaded for free on Lulu.com),Emer Penny,Fantasy / Mystery
Half True Half Lie,No humor in life? Find out how I discovered humor in this semi-autobiographical novel,Vijaykumar Poolakkal,Humor
Out of Season,"If you're going to mess with the 'Top Dog', you're going to get bitten. 80s Blackpool was no place for a boy who wanted to be a man.",ianwatson,Drama / Humor
Green Sunday,"TJ, a neckbeard youtuber meets a strange girl, unfortunately unaware she’s the star of a deebweb gameshow set on tearing his small town apart. Now available on amazon! www.amazon.com/dp/B06ZYTG4HK",Ryk Brink,Horror / Humor
The Golden Child,Your twin has been kidnapped. You know exactly where they are. Unfortunately they're on Earth. Yes. Earth. What a dump! Make it quick. Just go get them and bring them back. Easy.,RockWord,Humor / Adventure
The Truths and Lies of Happily Ever Afters,"Aspiring writer Jake Barnes has always been fascinated by the world of fairy tales. He is halfway through the checklist - evil step-family, fairy godmother - really, all he needs is a princess.",bubblewrappedkitty,Romance / Humor
Casanova Cowboy,The new cowboy in the Rusty Springs Valley is a breath of fresh air when he arrives in mud season.,Jo Ann J. Bender,Romance / Fantasy
Coyote Horny,"Horny wife has learned to shape-shift into a shadow coyote from the high desert Indian shamans, and she's intent on taking her reluctant alcoholic husband down. The riotous fun has just begun.",Ron2BSure,Humor / Drama
